problem,method,converged,n_iterations,f_final,x_final
f1,Gradient Descent,True,746,2.434591984965076e-13,[2.84873772e-07 2.84873772e-07 2.84873772e-07]
f1,Newton's Method,True,1,0.0,[0. 0. 0.]
f1,BFGS (SciPy),True,2,5.546678239835239e-32,[-1.66533454e-16 -1.66533454e-16  0.00000000e+00]
f2,Gradient Descent,True,1809,-0.9999999999993547,[0.99999889 0.99999932]
f2,Newton's Method,True,1,-1.0,[0.99999999 0.99999999]
f2,BFGS (SciPy),True,2,-1.0,[1. 1.]
f3,Gradient Descent,False,3,2529511280281.618,[-398.85797775   43.31775295]
f3,Newton's Method,True,6,9.485769850750923e-20,[1. 1.]
f3,BFGS (SciPy),True,33,8.983450686711573e-19,[1. 1.]
f4,Gradient Descent,False,10000,1.780060296074249e-06,[ 3.65751852e-02 -9.78522073e-05]
f4,Newton's Method,True,14,6.970403078840257e-10,[ 5.13824104e-03 -2.71906676e-18]
f4,BFGS (SciPy),True,19,5.423586371196122e-10,[4.82581358e-03 1.18970251e-08]
f5,Gradient Descent,False,10000,0.00037527535643976784,[1.98593184 1.98593184]
f5,Newton's Method,True,1,0.0,[27315713.14530952 27315713.14530952]
f5,BFGS (SciPy),True,18,1.1290342190621816e-07,[2.82813835 2.82813835]
